Year,Utility,Plant State,Plant Code,Primary Mover,AER Fuel Code,Fuel Consumption MWh,Net Generation MWh,Efficiency,County,Zipcode
2008.0,Alabama Power Co,AL,2,HY,HYC,254589.909,88157.0,0.3462705978656837,Tuscaloosa,35476.0
2008.0,Alabama Power Co,AL,3,CA,NG,1043.0361300000002,1609033.0,1542.6435899205142,Mobile,36512.0
2008.0,Alabama Power Co,AL,3,CT,NG,9404650.88226,2858195.0,0.3039129294412635,Mobile,36512.0
2008.0,Alabama Power Co,AL,3,ST,COL,27713169.87042,9472859.386,0.34181796706377404,Mobile,36512.0
2008.0,Alabama Power Co,AL,3,ST,DFO,,,,Mobile,36512.0
2008.0,Alabama Power Co,AL,3,ST,COL,,,,Mobile,36512.0
2008.0,Alabama Power Co,AL,3,ST,NG,255343.0989,87264.614,0.3417543469000329,Mobile,36512.0
2008.0,Alabama Power Co,AL,3,ST,COL,,,,Mobile,36512.0
2008.0,Alabama Power Co,AL,3,ST,COL,,,,Mobile,36512.0
2008.0,Alabama Power Co,AL,4,HY,HYC,1198185.92265,414897.0,0.3462709686009179,Elmore,36092.0
2008.0,Alabama Power Co,AL,7,ST,ORW,15376.210619999998,3881.782,0.2524537479312962,Etowah,35903.0
2008.0,Alabama Power Co,AL,7,ST,COL,2291545.98156,589212.6410000001,0.2571245114614221,Etowah,35903.0
2008.0,Alabama Power Co,AL,7,ST,DFO,,,,Etowah,35903.0
2008.0,Alabama Power Co,AL,7,ST,NG,25075.65534,6203.576999999999,0.24739441166684975,Etowah,35903.0
2008.0,Alabama Power Co,AL,7,ST,COL,,,,Etowah,35903.0
2008.0,Alabama Power Co,AL,8,ST,COL,23251784.309970003,7784890.654,0.3348083119221935,Walker,35580.0
2008.0,Alabama Power Co,AL,8,ST,DFO,34074.36969,11336.346000000001,0.3326942245193443,Walker,35580.0
2008.0,El Paso Electric Co,TX,9,GT,DFO,,,,El Paso,79915.0
2008.0,El Paso Electric Co,TX,9,GT,NG,88217.87991,18110.0,0.20528718235436905,El Paso,79915.0
2008.0,Alabama Power Co,AL,10,GT,DFO,26055.681419999997,3825.1059999999998,0.14680506482796873,Greene,36732.0
2008.0,Alabama Power Co,AL,10,GT,NG,610157.0865,135518.894,0.2221049251060366,Greene,36732.0
2008.0,Alabama Power Co,AL,10,ST,COL,9768370.38795,3340054.9680000003,0.3419255039837763,Greene,36732.0
2008.0,Alabama Power Co,AL,10,ST,DFO,,,,Greene,36732.0
2008.0,Alabama Power Co,AL,10,ST,NG,34879.72605,11838.032,0.33939578490468103,Greene,36732.0
2008.0,Alabama Power Co,AL,10,ST,COL,,,,Greene,36732.0
2008.0,Alabama Power Co,AL,11,HY,HYC,335855.87544000003,116297.0,0.3462705538428975,Calhoun,36271.0
2008.0,Alabama Power Co,AL,12,HY,HYC,335587.13025,116204.0,0.3462707283006721,Tuscaloosa,35476.0
2008.0,Alabama Power Co,AL,13,HY,HYC,522755.11347,181015.0,0.34627112262649945,Elmore,36092.0
2008.0,Alabama Power Co,AL,14,HY,HYC,625492.56039,216590.0,0.3462711049112307,Talladega,35178.0
2008.0,Alabama Power Co,AL,15,HY,HYC,1065593.14176,368984.0,0.3462709973813861,Chilton,35045.0
2008.0,Alabama Power Co,AL,16,HY,HYC,457173.96036,158306.0,0.34627081532671394,Elmore,36078.0
2008.0,Alabama Power Co,AL,17,HY,HYC,911030.07525,315463.0,0.3462706759855676,Coosa,36091.0
2008.0,Alabama Power Co,AL,18,HY,HYC,360281.20845,124744.0,0.34624065056479914,Walker,35501.0
2008.0,Alabama Power Co,AL,19,HY,HYC,320142.04818000004,110856.0,0.3462712899796005,Elmore,36078.0
2008.0,Alabama Power Co,AL,20,HY,HYC,343136.61345,118818.0,0.3462702473086962,Cherokee,35983.0
2008.0,Alabama Power Co,AL,21,HY,HYC,193290.80166,66931.0,0.3462710042339839,Elmore,36078.0
2008.0,Alabama Power Co,AL,26,GT,DFO,3774.4485299999997,706.0,0.18704719229540004,Shelby,35186.0
2008.0,Alabama Power Co,AL,26,ST,COL,32167242.455159996,11388888.595999999,0.3540523752347037,Shelby,35186.0
2008.0,Alabama Power Co,AL,26,ST,DFO,61532.9772,21765.404,0.35371933864431965,Shelby,35186.0
2008.0,Alabama Power Co,AL,26,ST,COL,,,,Shelby,35186.0
2008.0,City of Madelia,MN,30,IC,DFO,109.02203999999999,-113.0,-1.0364876679981403,Watonwan,56062.0
2008.0,City of Madelia,MN,30,IC,NG,,,,Watonwan,56062.0
2008.0,Nevada Irrigation District,CA,34,HY,HYC,166990.40679,57824.0,0.3462713883481761,Nevada,95713.0
2008.0,USCE-Mobile District,AL,38,HY,HYC,850264.64838,294422.0,0.3462710116914293,Wilcox,36726.0
2008.0,Tennessee Valley Authority,AL,46,ST,NUC,25183436.814689998,8190739.0,0.3252430976864198,Limestone,35609.0
2008.0,Tennessee Valley Authority,AL,46,ST,NUC,28984906.98483,9429917.0,0.32533887395034217,Limestone,35609.0
2008.0,Tennessee Valley Authority,AL,46,ST,NUC,22439943.19008,7298760.0,0.32525750792571323,Limestone,35609.0
2008.0,Tennessee Valley Authority,AL,47,GT,DFO,9118.57998,1131.319,0.1240674537572022,Colbert,35674.0
2008.0,Tennessee Valley Authority,AL,47,GT,NG,3537.3549,831.681,0.23511381343161245,Colbert,35674.0
2008.0,Tennessee Valley Authority,AL,47,ST,COL,23000234.123010002,7623276.396000001,0.33144342597684634,Colbert,35674.0
2008.0,Tennessee Valley Authority,AL,47,ST,DFO,104659.39998,34676.604,0.33132813685752605,Colbert,35674.0
2008.0,Tennessee Valley Authority,AL,47,ST,COL,,,,Colbert,35674.0
2008.0,Tennessee Valley Authority,AL,48,HY,HYC,1458733.0655399999,505117.0,0.3462710292461997,Marshall,35976.0
2008.0,Tennessee Valley Authority,AL,49,HY,HYC,2227298.88309,771249.0,0.34627099481593715,Lawrence,35672.0
2008.0,Tennessee Valley Authority,AL,50,ST,COL,29964123.89856,9208136.458999999,0.30730537926531937,Jackson,35772.0
2008.0,Tennessee Valley Authority,AL,50,ST,DFO,50415.95289,15460.541,0.3066597002288654,Jackson,35772.0
2008.0,Cleco Power LLC,LA,51,ST,COL,16194429.8223,4885216.943,0.3016603237412517,De Soto,71052.0
2008.0,Cleco Power LLC,LA,51,ST,NG,23751.27201,7099.057000000002,0.2988916550242481,De Soto,71052.0
2008.0,PowerSouth Energy Cooperative,AL,53,HY,HYC,19490.034209999998,6749.0,0.34627953585310817,Covington,36421.0
2008.0,"East Kentucky Power Coop, Inc",KY,54,GT,DFO,7805.62638,1886.852,0.24172973546807144,Clark,40391.0
2008.0,"East Kentucky Power Coop, Inc",KY,54,GT,NG,631372.71687,147320.14800000002,0.23333309163299384,Clark,40391.0
2008.0,PowerSouth Energy Cooperative,AL,55,HY,HYC,46001.73255,15929.0,0.3462695667535244,Covington,36421.0
2008.0,PowerSouth Energy Cooperative,AL,56,ST,COL,11030440.29534,3561351.663,0.3228657757664084,Washington,36548.0
2008.0,PowerSouth Energy Cooperative,AL,56,ST,DFO,30744.21528,9902.337,0.32208781098542977,Washington,36548.0
2008.0,City of Grand Island,NE,59,ST,COL,2125407.82233,664130.0,0.3124717962465861,Hall,68801.0
2008.0,City of Hastings - (NE),NE,60,ST,DFO,1261.0802099999999,375.18300000000005,0.2975092282195119,Adams,68902.0
2008.0,City of Hastings - (NE),NE,60,ST,COL,1715878.54494,524336.817,0.3055792139520777,Adams,68902.0
2008.0,Alaska Electric Light&Power Co,AK,62,HY,HYC,82233.68358,28475.0,0.3462692993960128,Juneau,99801.0
2008.0,Alaska Electric Light&Power Co,AK,63,HY,HYC,13662.630330000002,4731.0,0.3462730005665022,Juneau,99801.0
2008.0,Alaska Electric Light&Power Co,AK,63,IC,DFO,54.511019999999995,16.0,0.29351863164549113,Juneau,99801.0
2008.0,Alaska Electric Light&Power Co,AK,64,GT,DFO,25595.85459,5066.0,0.19792267463416624,Juneau,99801.0
2008.0,Alaska Electric Light&Power Co,AK,64,IC,DFO,70965.14207999999,23297.0,0.3282879356985852,Juneau,99801.0
2008.0,Alaska Electric Light&Power Co,AK,65,HY,HYC,75206.74419,26042.0,0.3462721366345589,Juneau,99801.0
2008.0,Alaska Power and Telephone Co,AK,66,HY,HYC,9362.70729,3242.0,0.3462673668611507,Skagway-Yakutat,99840.0
2008.0,Alaska Power and Telephone Co,AK,66,IC,DFO,7705.103370000001,2753.0,0.3572956607848857,Skagway-Yakutat,99840.0
2008.0,Alaska Power and Telephone Co,AK,69,IC,DFO,125.72703,-114.0,-0.9067262624433268,Haines,99927.0
2008.0,Ketchikan Public Utilities,AK,70,HY,HYC,194201.37015,67246.0,0.3462694416010535,Ketchikan Gateway,99901.0
2008.0,Kodiak Electric Assn Inc,AK,71,HY,HYC,349087.69287,120879.0,0.34627115899217703,Kodiak Island,99615.0
2008.0,Metropolitan Water District of S CA,CA,72,HY,HYC,,,,Los Angeles,90230.0
2008.0,Anchorage Municipal Light and Power,AK,75,GT,DFO,21.10104,6.521,0.3090369005508733,Anchorage,99501.0
2008.0,Anchorage Municipal Light and Power,AK,75,GT,NG,237174.81039,73540.479,0.3100686741525089,Anchorage,99501.0
2008.0,Anchorage Municipal Light and Power,AK,75,IC,DFO,45.42585,7.0,0.15409728161388286,Anchorage,99501.0
2008.0,Anchorage Municipal Light and Power,AK,77,HY,HYC,166990.40679,57824.0,0.3462713883481761,Matanuska-Susitna,99645.0
2008.0,Alaska Electric Light&Power Co,AK,78,HY,HYC,637188.9840899999,220640.0,0.3462708953060551,Juneau,99801.0
2008.0,Aurora Energy LLC,AK,79,ST,COL,867920.9436,177106.212,0.20405800010469985,Fairbanks North Star,99701.0
2008.0,Ketchikan Public Utilities,AK,84,HY,HYC,68937.39075,23871.0,0.34627072101651885,Ketchikan Gateway,99901.0
2008.0,Ketchikan Public Utilities,AK,85,IC,DFO,46212.15681,16184.0,0.3502108777683774,Ketchikan Gateway,99901.0
2008.0,"Tri-State G & T Assn, Inc",NM,87,ST,NG,11438.22903,3440.1910000000007,0.3007625560720216,McKinley,87045.0
2008.0,"Tri-State G & T Assn, Inc",NM,87,ST,COL,5687303.52492,1739419.8090000001,0.30584261968407384,McKinley,87045.0
2008.0,New York Power Authority,NY,88,HY,HYC,47370.07638,16403.0,0.3462734547526605,Ulster,12401.0
2008.0,Nome Joint Utility Systems,AK,90,IC,DFO,103550.13003,40049.0,0.3867595336519347,Nome,99762.0
2008.0,City of Petersburg,AK,91,HY,HYC,38051.03652,13176.0,0.34627177614661203,Wrangell-Petersburg,99833.0
2008.0,City of Petersburg,AK,91,IC,DFO,2697.70935,946.0,0.3506678730975967,Wrangell-Petersburg,99833.0
2008.0,City & Borough of Sitka - (AK),AK,93,HY,HYC,161029.65605999998,55760.0,0.3462716207952633,Sitka,99835.0
2008.0,City of Wrangell,AK,95,IC,DFO,1923.4184100000002,621.0,0.3228626682428396,Wrangell-Petersburg,99929.0
2008.0,Chugach Electric Assn Inc,AK,96,CA,NG,,238404.0,,Kenai Peninsula,99682.0
2008.0,Chugach Electric Assn Inc,AK,96,CT,NG,3584640.5722199995,1052342.0,0.2935697397823836,Kenai Peninsula,99682.0
2008.0,Chugach Electric Assn Inc,AK,96,GT,NG,3845665.1261400003,967801.0,0.2516602377626698,Kenai Peninsula,99682.0
2008.0,Puget Sound Energy Inc,WA,99,GT,DFO,27501.39573,5354.4000000000015,0.1946955730017416,Pierce,98446.0
2008.0,Puget Sound Energy Inc,WA,99,GT,NG,44970.712289999996,8755.6,0.19469560418652646,Pierce,98446.0
2008.0,Salt River Project,AZ,100,HY,HYC,6997.33932,2423.0,0.34627447508148,Maricopa,85072.0
2008.0,Southern California Edison Co,CA,104,PS,HPS,,13450.0,,Fresno,93664.0
2008.0,Sunflower Electric Power Corp,KS,108,ST,NG,21449.50023,7066.818,0.3294630608743092,Finney,67851.0
2008.0,Sunflower Electric Power Corp,KS,108,ST,COL,8426183.93466,2775640.182,0.3294065502869892,Finney,67851.0
2008.0,"Nushagak Electric Coop, Inc",AK,109,IC,DFO,50190.58206,18527.0,0.3691329974586073,Dillingham,99576.0
2008.0,Arizona Public Service Co,AZ,113,ST,DFO,11921.20839,3872.2990000000004,0.3248243695872512,Navajo,86032.0
2008.0,Arizona Public Service Co,AZ,113,ST,NG,1738.19817,562.7130000000002,0.32373351307808595,Navajo,86032.0
2008.0,Arizona Public Service Co,AZ,113,ST,COL,22665575.14545,7399148.988,0.32644876384199506,Navajo,86032.0
2008.0,Arizona Public Service Co,AZ,114,GT,DFO,3374.4079799999995,618.0,0.18314323687676912,Cochise,85607.0
2008.0,Arizona Public Service Co,AZ,116,GT,DFO,,,,Maricopa,85281.0
2008.0,Arizona Public Service Co,AZ,116,GT,NG,13065.35367,2252.0,0.17236425870131075,Maricopa,85281.0
2008.0,Arizona Public Service Co,AZ,116,GT,RFO,,,,Maricopa,85281.0
2008.0,Arizona Public Service Co,AZ,116,PV,SUN,1209.79296,419.0,0.3463402531289321,Maricopa,85281.0
2008.0,Arizona Public Service Co,AZ,116,ST,DFO,,,,Maricopa,85281.0
2008.0,Arizona Public Service Co,AZ,116,ST,NG,253943.68965,66587.0,0.26221167413836544,Maricopa,85281.0
2008.0,Arizona Public Service Co,AZ,116,ST,RFO,,,,Maricopa,85281.0
2008.0,Arizona Public Service Co,AZ,117,CA,NG,10652.80143,484773.0,45.50662125690256,Maricopa,85043.0
2008.0,Arizona Public Service Co,AZ,117,CS,DFO,,,,Maricopa,85043.0
2008.0,Arizona Public Service Co,AZ,117,CS,NG,739541.04396,252922.0,0.34199859773256874,Maricopa,85043.0
2008.0,Arizona Public Service Co,AZ,117,CT,DFO,,,,Maricopa,85043.0
2008.0,Arizona Public Service Co,AZ,117,CT,NG,3639006.81564,1072611.0,0.2947537760550629,Maricopa,85043.0
2008.0,Arizona Public Service Co,AZ,117,CT,RFO,,,,Maricopa,85043.0
2008.0,Arizona Public Service Co,AZ,117,GT,DFO,,,,Maricopa,85043.0
2008.0,Arizona Public Service Co,AZ,117,GT,NG,20909.66529,3947.0,0.18876437978601426,Maricopa,85043.0
2008.0,Arizona Public Service Co,AZ,118,GT,DFO,,,,Pinal,85245.0
2008.0,Arizona Public Service Co,AZ,118,GT,NG,158375.02800000002,36710.0,0.23179159280085496,Pinal,85245.0
2008.0,Arizona Public Service Co,AZ,118,GT,RFO,,,,Pinal,85245.0
2008.0,Arizona Public Service Co,AZ,118,ST,DFO,,,,Pinal,85245.0
2008.0,Arizona Public Service Co,AZ,118,ST,NG,154908.59604,39625.0,0.25579600495358024,Pinal,85245.0
2008.0,Arizona Public Service Co,AZ,118,ST,RFO,,,,Pinal,85245.0
2008.0,Arizona Public Service Co,AZ,118,ST,SUN,2235.53796,774.0,0.3462253890781617,Pinal,85245.0
2008.0,Arizona Public Service Co,AZ,120,GT,DFO,5219.86977,1274.9550000000004,0.2442503464985871,Yuma,85364.0
2008.0,Arizona Public Service Co,AZ,120,GT,NG,164274.82017,45645.045,0.2778578296586426,Yuma,85364.0
2008.0,Arizona Public Service Co,AZ,120,ST,DFO,,,,Yuma,85364.0
2008.0,Arizona Public Service Co,AZ,120,ST,NG,894567.16107,278390.0,0.31120078191447936,Yuma,85364.0
2008.0,Arizona Public Service Co,AZ,120,ST,RFO,,,,Yuma,85364.0
2008.0,Tucson Electric Power Co,AZ,124,GT,NG,41064.67533,10143.0,0.2470006135075901,Pima,85705.0
2008.0,Tucson Electric Power Co,AZ,126,GT,DFO,1477.0728,86.527,0.058580051030660114,Pima,85714.0
